"","X","season","agebin","densitybin","fraction_infected_bin","count","num_in_group","freq_frac_infect","site","month"
"80",80,"Wet",5,50,0,2,2,1,"Sapone_2018",8
"81",81,"Wet",5,50,20,0,2,0,"Sapone_2018",8
"82",82,"Wet",5,50,40,0,2,0,"Sapone_2018",8
"83",83,"Wet",5,50,80,0,2,0,"Sapone_2018",8
"84",84,"Wet",5,50,60,0,2,0,"Sapone_2018",8
"85",85,"Wet",5,500,5,0,2,0,"Sapone_2018",8
"86",86,"Wet",5,500,0,0,2,0,"Sapone_2018",8
"87",87,"Wet",5,500,20,1,2,0.5,"Sapone_2018",8
"88",88,"Wet",5,500,40,1,2,0.5,"Sapone_2018",8
"89",89,"Wet",5,500,80,0,2,0,"Sapone_2018",8
"90",90,"Wet",5,500,60,0,2,0,"Sapone_2018",8
"91",91,"Dry",80,0,5,0,123,0,"Sapone_2018",5
"92",92,"Dry",80,0,0,123,123,1,"Sapone_2018",5
"93",93,"Dry",80,0,20,0,123,0,"Sapone_2018",5
"94",94,"Dry",80,0,40,0,123,0,"Sapone_2018",5
"95",95,"Dry",80,0,80,0,123,0,"Sapone_2018",5
"96",96,"Dry",80,0,60,0,123,0,"Sapone_2018",5
"97",97,"Dry",80,0.5,5,1,49,0.0204081632653061,"Sapone_2018",5
"98",98,"Dry",80,0.5,0,48,49,0.979591836734694,"Sapone_2018",5
"99",99,"Dry",80,0.5,20,0,49,0,"Sapone_2018",5
"100",100,"Dry",80,0.5,40,0,49,0,"Sapone_2018",5
"101",101,"Dry",80,0.5,80,0,49,0,"Sapone_2018",5
"102",102,"Dry",80,0.5,60,0,49,0,"Sapone_2018",5
"103",103,"Dry",80,5,5,2,15,0.133333333333333,"Sapone_2018",5
"104",104,"Dry",80,5,0,13,15,0.866666666666667,"Sapone_2018",5
"105",105,"Dry",80,5,20,0,15,0,"Sapone_2018",5
"106",106,"Dry",80,5,40,0,15,0,"Sapone_2018",5
"107",107,"Dry",80,5,80,0,15,0,"Sapone_2018",5
"108",108,"Dry",80,5,60,0,15,0,"Sapone_2018",5
"109",109,"Dry",80,50,5,0,0,NA,"Sapone_2018",5
"110",110,"Dry",80,50,0,0,0,NA,"Sapone_2018",5
"111",111,"Dry",80,50,20,0,0,NA,"Sapone_2018",5
"112",112,"Dry",80,50,40,0,0,NA,"Sapone_2018",5
"113",113,"Dry",80,50,80,0,0,NA,"Sapone_2018",5
"114",114,"Dry",80,50,60,0,0,NA,"Sapone_2018",5
"115",115,"Dry",80,500,5,0,1,0,"Sapone_2018",5
"116",116,"Dry",80,500,0,0,1,0,"Sapone_2018",5
"117",117,"Dry",80,500,20,0,1,0,"Sapone_2018",5
"118",118,"Dry",80,500,40,1,1,1,"Sapone_2018",5
"119",119,"Dry",80,500,80,0,1,0,"Sapone_2018",5
"120",120,"Dry",80,500,60,0,1,0,"Sapone_2018",5
"121",121,"Dry",15,0,5,0,66,0,"Sapone_2018",5
"122",122,"Dry",15,0,0,66,66,1,"Sapone_2018",5
"123",123,"Dry",15,0,20,0,66,0,"Sapone_2018",5
"124",124,"Dry",15,0,40,0,66,0,"Sapone_2018",5
"125",125,"Dry",15,0,80,0,66,0,"Sapone_2018",5
"126",126,"Dry",15,0,60,0,66,0,"Sapone_2018",5
"127",127,"Dry",15,0.5,5,0,42,0,"Sapone_2018",5
"128",128,"Dry",15,0.5,0,42,42,1,"Sapone_2018",5
"129",129,"Dry",15,0.5,20,0,42,0,"Sapone_2018",5
"130",130,"Dry",15,0.5,40,0,42,0,"Sapone_2018",5
"131",131,"Dry",15,0.5,80,0,42,0,"Sapone_2018",5
"132",132,"Dry",15,0.5,60,0,42,0,"Sapone_2018",5
"133",133,"Dry",15,5,5,2,43,0.0465116279069767,"Sapone_2018",5
"134",134,"Dry",15,5,0,37,43,0.86046511627907,"Sapone_2018",5
"135",135,"Dry",15,5,20,4,43,0.0930232558139535,"Sapone_2018",5
"136",136,"Dry",15,5,40,0,43,0,"Sapone_2018",5
"137",137,"Dry",15,5,80,0,43,0,"Sapone_2018",5
"138",138,"Dry",15,5,60,0,43,0,"Sapone_2018",5
"139",139,"Dry",15,50,5,0,3,0,"Sapone_2018",5
"140",140,"Dry",15,50,0,3,3,1,"Sapone_2018",5
"141",141,"Dry",15,50,20,0,3,0,"Sapone_2018",5
"142",142,"Dry",15,50,40,0,3,0,"Sapone_2018",5
"143",143,"Dry",15,50,80,0,3,0,"Sapone_2018",5
"144",144,"Dry",15,50,60,0,3,0,"Sapone_2018",5
"145",145,"Dry",15,500,5,0,0,NA,"Sapone_2018",5
"146",146,"Dry",15,500,0,0,0,NA,"Sapone_2018",5
"147",147,"Dry",15,500,20,0,0,NA,"Sapone_2018",5
"148",148,"Dry",15,500,40,0,0,NA,"Sapone_2018",5
"149",149,"Dry",15,500,80,0,0,NA,"Sapone_2018",5
"150",150,"Dry",15,500,60,0,0,NA,"Sapone_2018",5
"151",151,"Dry",5,0,5,0,23,0,"Sapone_2018",5
"152",152,"Dry",5,0,0,23,23,1,"Sapone_2018",5
